GEO/TIME,DAX_CLOSE,DAX_VOL
1999Q1,4983.17334,0
1999Q2,5269.183268,0
1999Q3,5174.156738,0
1999Q4,6126.526693,508348933.3
2000Q1,7359.84668,1098264400
2000Q2,7140.853353,730772833.3
2000Q3,7068.313476,836429933.3
2000Q4,6627.793294,884470300
2001Q1,6277.776855,1181254300
2001Q2,6148.716472,1263267467
2001Q3,5119.169922,1537862767
2001Q4,4903.046712,1459884667
2002Q1,5181.32666,1557499600
2002Q2,4747.353353,1598174633
2002Q3,3394.036621,2026341833
2002Q4,3121.93335,1879842433
2003Q1,2572.916748,2270775500
2003Q2,3048.43335,2140487833
2003Q3,3409.740071,2105486867
2003Q4,3789.033284,1927162700
2004Q1,3977.819987,2284764933
2004Q2,3986.449951,1902232000
2004Q3,3857.906657,1855083233
2004Q4,4114.110026,1924324433
2005Q1,4318.036784,2119664000
2005Q2,4410.583171,2174187200
2005Q3,4920.103353,2275247233
2005Q4,5176.909831,2085746633
2006Q1,5813.42334,2481025233
2006Q2,5795.353353,2767333300
2006Q3,5848.623372,2368686267
2006Q4,6391.676595,2335995400
2007Q1,6807.193196,3160240267
2007Q2,7766.409993,3045920733
2007Q3,7694.606608,3262625633
2007Q4,7985.686686,2936542067
2008Q1,6711.616699,4044876067
2008Q2,6821.309896,2958415933
2008Q3,6244.293295,3755903067
2008Q4,4822.536784,4288734500
2009Q1,4088.950033,3151810100
2009Q2,4839.636719,2536702700
2009Q3,5490.636719,2145932667
2009Q4,5666.113444,2352575333
2010Q1,5786.933268,2609321367
2010Q2,6021.850098,3087251533
2010Q3,6100.736817,2255190367
2010Q4,6734.683431,2098366767
2011Q1,7130.369954,2526267800
2011Q2,7394.796712,3062730600
2011Q3,6148.546713,4529107067
2011Q4,6042.843262,3602074033
2012Q1,6753.940104,3735049200
2012Q2,6480.616536,3315724033
2012Q3,6986.399902,3121914200
2012Q4,7426.17334,2499914333
2013Q1,7771.02002,2910008767
2013Q2,8073.92334,2381015733
2013Q3,8324.506673,2004502333
2013Q4,9330.459961,1687942167
2014Q1,9518.156901,1952707867
2014Q2,9793.190104,1696153133
2014Q3,9450.650065,1706085467
2014Q4,9704.423177,2094744133
2015Q1,11354.05013,2125049133
2015Q2,11271.05664,1942885967
2015Q3,10409.63021,2243645167
2015Q4,10991.79329,1918154667
2016Q1,9753.006836,2287740000
2016Q2,9993.933268,2037665500
2016Q3,10480.40332,1908336300
2016Q4,10928.78971,1992032867
2017Q1,11894.19661,1942510200
2017Q2,12459.39648,1900425333
2017Q3,12334.31673,1760591333
2017Q4,13057.06348,1766996100
2018Q1,12574.02018,2283948100
2018Q2,12507.66667,2102435433
2018Q3,12472.09668,1798848533
2018Q4,11087.90332,1890904533
2019Q1,11404.92643,1781023467
2019Q2,12156.57324,1897401233
2019Q3,12185.4668,1874586133
2019Q4,13117.39323,1602368867
2020Q1,11602.71973,2931881067
2020Q2,11586.47298,2494700733
2020Q3,12673.1569,1530340600
2020Q4,12855.47363,1581398400
2021Q1,14075.83333,1596903667
2021Q2,15362.69336,1328800967
2021Q3,15546.72331,1192240000
2021Q4,15557.91992,1446496933