GEO/TIME,Bulgaria,Estonia,Lithuania,Romania
1999Q1,58.801,54.185,52.404,56.052
1999Q2,57.248,54.661,52.61,55.88
1999Q3,56.767,55.224,51.959,56.448
1999Q4,53.679,56.655,52.059,56.973
2000Q1,59.09,58.806,53.186,57.566
2000Q2,59.637,60.279,53.729,58.367
2000Q3,60.14,61.023,54.538,57.422
2000Q4,60.675,62.396,55.371,57.806
2001Q1,61.17,63.296,56.706,59.365
2001Q2,61.774,63.375,56.908,59.907
2001Q3,62.568,64.683,58.052,61.062
2001Q4,63.416,65.632,59.428,61.557
2002Q1,64.397,66.09,59.494,62.957
2002Q2,65.393,68.401,61.357,63.614
2002Q3,66.347,69.772,62.432,63.874
2002Q4,67.064,70.283,63.374,64.998
2003Q1,67.972,71.895,66.143,63.917
2003Q2,68.682,73.56,67.126,64.781
2003Q3,69.521,74.284,69.022,66.208
2003Q4,70.831,76.223,70.252,66.351
2004Q1,71.789,77.991,70.925,69.414
2004Q2,73.173,77.461,72.245,70.67
2004Q3,74.654,79.212,72.714,73.124
2004Q4,75.77,80.859,74.394,74.235
2005Q1,77.275,82.279,76.007,74.539
2005Q2,78.39,85.537,77.218,74.177
2005Q3,79.443,87.586,79.3,75.65
2005Q4,80.741,89.608,80.77,77.517
2006Q1,82.018,91.667,81.454,78.767
2006Q2,83.445,93.587,83.323,81.511
2006Q3,85.143,95.73,84.761,82.148
2006Q4,86.562,98.105,87.074,83.225
2007Q1,87.847,101.358,90.122,84.731
2007Q2,89.476,101.754,92.418,86.543
2007Q3,90.714,101.958,94.896,87.359
2007Q4,92.533,101.346,96.53,90.233
2008Q1,94.032,99.096,96.057,94.444
2008Q2,95.189,100.103,96.699,96.021
2008Q3,96.247,100.151,95.495,96.196
2008Q4,96.792,88.335,94.738,94.534
2009Q1,92.442,85.992,82.557,90.682
2009Q2,92.651,83.09,81.468,90.045
2009Q3,93.381,81.456,81.804,90.191
2009Q4,90.594,81.838,80.914,90.124
2010Q1,91.914,82.966,81.537,87.568
2010Q2,93.324,84.017,82.562,87.318
2010Q3,94.095,85.249,82.928,86.067
2010Q4,94.968,87.04,84.891,87.064
2011Q1,95.153,88.805,86.515,88.142
2011Q2,95.927,90.5,87.743,87.906
2011Q3,96.088,92.012,88.501,89.513
2011Q4,96.074,91.982,89.461,88.564
2012Q1,96.575,92.528,89.941,89.642
2012Q2,96.377,93.662,90.514,90.126
2012Q3,96.152,94.131,92.38,90.271
2012Q4,95.876,94.967,92.785,90.817
2013Q1,95.615,95.422,93.343,91.894
2013Q2,95.461,95.177,94.349,92.923
2013Q3,95.76,94.94,95.039,93.946
2013Q4,95.906,94.893,96.229,95.132
2014Q1,95.949,96.451,97.295,95.829
2014Q2,96.508,96.844,97.908,96.562
2014Q3,96.933,98.142,98.27,97.483
2014Q4,97.777,99.612,98.647,98.108
2015Q1,98.74,98.221,99.019,98.846
2015Q2,99.5,100.158,99.786,99.218
2015Q3,100.538,100.904,100.436,100.563
2015Q4,101.222,100.717,100.76,101.373
2016Q1,102.002,102.352,101.328,102.488
2016Q2,102.763,102.162,101.991,104.175
2016Q3,103.318,103.301,103,104.676
2016Q4,104.228,104.539,104.261,106.894
2017Q1,104.876,106.601,105.458,109.357
2017Q2,105.598,108.625,106.357,110.683
2017Q3,106.321,109.014,107.459,113.274
2017Q4,106.989,110.59,108.423,114.477
2018Q1,107.784,111.764,109.35,115.131
2018Q2,108.401,112.631,110.668,116.877
2018Q3,109.068,113.402,111.627,118.109
2018Q4,109.522,114.963,113.06,118.94
2019Q1,113.673,116.845,114.646,120.704
2019Q2,113.374,117.343,116,121.673
2019Q3,112.646,118.161,116.461,122.516
2019Q4,112.95,118.592,117.963,123.335
2020Q1,112.717,117.161,118.826,123.653
2020Q2,104.462,110.352,111.858,110.98
2020Q3,107.695,114.346,116.2,116.267
2020Q4,109.21,116.858,118.007,120.788
2021Q1,111.161,120.75,120.022,123.139
2021Q2,112.179,123.671,121.465,125.102
2021Q3,113.118,124.939,122.34,125.613
2021Q4,114.3,127.146,123.874,125.547