GEO/TIME,SNP_CLOSE,SNP_VOL
1999Q1,1268.113333,16257286667
1999Q2,1336.576667,16827543333
1999Q3,1310.613333,15863393333
1999Q4,1407.03,18952503333
2000Q1,1419.82,22854200000
2000Q2,1442.543333,20581020000
2000Q3,1461.673333,20097033333
2000Q4,1354.876667,23364833333
2001Q1,1255.426667,25760270000
2001Q2,1243.22,24894640000
2001Q3,1128.583333,24059400000
2001Q4,1115.77,27136616667
2002Q1,1128.106667,27452333333
2002Q2,1044.626667,28485303333
2002Q3,880.99,33083610000
2002Q4,900.63,31016970000
2003Q1,848.3433333,28688303333
2003Q2,951.67,30613703333
2003Q3,998.0966667,28791593333
2003Q4,1073.61,28200283333
2004Q1,1134.093333,31467833333
2004Q2,1122.94,29489266667
2004Q3,1106.846667,27567423333
2004Q4,1171.98,31024593333
2005Q1,1188.486667,33270120000
2005Q2,1179.893333,41026766667
2005Q3,1227.773333,41424090000
2005Q4,1234.926667,45550930000
2006Q1,1285.203333,47658876667
2006Q2,1283.633333,50831506667
2006Q3,1305.443333,48611760000
2006Q4,1398.956667,53238776667
2007Q1,1421.973333,58717813333
2007Q2,1505.446667,62437773333
2007Q3,1485.336667,73176296667
2007Q4,1499.626667,75697066667
2008Q1,1343.96,90066880000
2008Q2,1355.323333,87861050000
2008Q3,1238.856667,1.17085E+11
2008Q4,922.7466667,1.29456E+11
2009Q1,786.28,1.32809E+11
2009Q2,903.7566667,1.27708E+11
2009Q3,1021.726667,1.11663E+11
2009Q4,1082.306667,95969286667
2010Q1,1115.93,93064306667
2010Q2,1102.27,1.18171E+11
2010Q3,1097.376667,86701936667
2010Q4,1207.15,85890623333
2011Q1,1313.056667,80298746667
2011Q2,1343.15,81732173333
2011Q3,1214.196667,97436056667
2011Q4,1252.62,85693716667
2012Q1,1362.186667,80617643333
2012Q2,1356.8,81088213333
2012Q3,1408.856667,71057300000
2012Q4,1418.176667,69876603333
2013Q1,1527.326667,71216366667
2013Q2,1611.53,76164013333
2013Q3,1666.75,66361346667
2013Q4,1803.57,68411470000
2014Q1,1838.126667,72494176667
2014Q2,1922.583333,66167606667
2014Q3,1968.776667,63787276667
2014Q4,2048.17,79352683333
2015Q1,2055.793333,74260483333
2015Q2,2085.336667,70154216667
2015Q3,1998.683333,80845583333
2015Q4,2067.903333,81812583333
2016Q1,1977.403333,92699583333
2016Q2,2087.036667,82287096667
2016Q3,2170.94,74136933333
2016Q4,2187.93,78915876667
2017Q1,2335.076667,73731123333
2017Q2,2406.47,75291776667
2017Q3,2487.103333,66707803333
2017Q4,2632.15,69765340000
2018Q1,2726.17,77603110000
2018Q2,2690.563333,74235193333
2018Q3,2877.263333,65424156667
2018Q4,2659.586667,84976870000
2019Q1,2774.33,76393780000
2019Q2,2879.883333,72456413333
2019Q3,2961.193333,74647080000
2019Q4,3136.44,73932823333
2020Q1,2921.443333,1.07733E+11
2020Q2,3019.01,1.20335E+11
2020Q3,3378.143333,91227813333
2020Q4,3549.22,95590670000
2021Q1,3832.76,1.08337E+11
2021Q2,4227.593333,81243280000
2021Q3,4408.493333,65327746667
2021Q4,4646.186667,66031776667