GEO/TIME,US_BOND_YIELD
1999Q1,5.053
1999Q2,5.590333333
1999Q3,5.923666667
1999Q4,6.200333333
2000Q1,6.366333333
2000Q2,6.172333333
2000Q3,5.845333333
2000Q4,5.435333333
2001Q1,5.000666667
2001Q2,5.380333333
2001Q3,4.809333333
2001Q4,4.679666667
2002Q1,5.096666667
2002Q2,4.986
2002Q3,4.069666667
2002Q4,3.980666667
2003Q1,3.831333333
2003Q2,3.578333333
2003Q3,4.288333333
2003Q4,4.292666667
2004Q1,3.986333333
2004Q2,4.591
2004Q3,4.242
2004Q4,4.201
2005Q1,4.329333333
2005Q2,4.050666667
2005Q3,4.211333333
2005Q4,4.484666667
2006Q1,4.642333333
2006Q2,5.106666667
2006Q3,4.784333333
2006Q4,4.591333333
2007Q1,4.674666667
2007Q2,4.851
2007Q3,4.629
2007Q4,4.160666667
2008Q1,3.535
2008Q2,3.928
2008Q3,3.873
2008Q4,3.057
2009Q1,2.856666667
2009Q2,3.370666667
2009Q3,3.403
2009Q4,3.478666667
2010Q1,3.679
2010Q2,3.305
2010Q3,2.633666667
2010Q4,2.904666667
2011Q1,3.415333333
2011Q2,3.168
2011Q3,2.315666667
2011Q4,2.038
2012Q1,1.997333333
2012Q2,1.718333333
2012Q3,1.563666667
2012Q4,1.682666667
2013Q1,1.908333333
2013Q2,2.105666667
2013Q3,2.652333333
2013Q4,2.769666667
2014Q1,2.683
2014Q2,2.540333333
2014Q3,2.469
2014Q4,2.233
2015Q1,1.870333333
2015Q2,2.158666667
2015Q3,2.155
2015Q4,2.212666667
2016Q1,1.819
2016Q2,1.713666667
2016Q3,1.544666667
2016Q4,2.216
2017Q1,2.401666667
2017Q2,2.26
2017Q3,2.246333333
2017Q4,2.399333333
2018Q1,2.776333333
2018Q2,2.869
2018Q3,2.957666667
2018Q4,2.952666667
2019Q1,2.586666667
2019Q2,2.217
2019Q3,1.734
2019Q4,1.795333333
2020Q1,1.115
2020Q2,0.641
2020Q3,0.635333333
2020Q4,0.873666667
2021Q1,1.433
2021Q2,1.551666667
2021Q3,1.357333333
2021Q4,1.504