GEO/TIME,GDP,SENTIMENT,SNP_VOL,SNP_CLOSE,US_BOND_YIELD,BRENT,EA_PMI,DAX_CLOSE,DAX_VOL,SOFIX,BG_BOND_YIELD
2003Q4,0.018843227,0.027027026,0.115869403,0.05633641,0.185558922,0.049824504,0.086197119,0.001019368,-0.071362013,0.012350817,-0.075138122
2004Q1,0.013525151,0.023779328,-0.062875847,-0.009834581,-0.167427698,0.002169521,0.110368592,0.022403259,0.151684924,0.083352908,0.032437276
2004Q2,0.01927872,-0.001548466,-0.065170944,-0.014331427,-0.024786023,-0.032245054,0.167575701,0.002988048,-0.076018297,0.134405724,-0.024706359
2004Q3,0.020239706,0.017990074,0.125407803,0.05884585,0.037325118,0.066409945,0.06709085,-0.000993049,-0.009665252,0.132398354,-0.07807309
2004Q4,0.014948965,-0.006398537,0.072378923,0.014084427,0.101510724,0.049567648,0.080006038,-0.019880716,0.030548282,0.298868581,-0.148906049
2005Q1,0.019862743,0.015946029,0.23314153,-0.007230484,0.025722567,0.021432515,0.082395695,-0.011156187,-0.064367108,-0.064025405,-0.082564645
2005Q2,0.014428987,-0.041050407,0.009684491,0.040579939,0.046481753,0.11552218,0.19066374,0.01025641,0.039664253,0.085972753,-0.085132685
2005Q3,0.013432836,0.000629525,0.099624156,0.005826266,-0.083287916,0.052195342,-0.074670571,0.031472081,0.064904227,-0.006744042,0.061345825
2005Q4,0.016338759,-0.031770997,0.046276699,0.040712268,0.189514198,0.122952404,0.08567745,0.020669291,0.035156831,0.050489327,0.044814123
2006Q1,0.015816004,0.058479532,0.066569551,-0.001221597,0.115399095,-0.003108321,0.125985102,0.037608486,0.100021541,0.011628931,0.134768481
2006Q2,0.01739862,0.045119705,-0.043668717,0.016990833,-0.144054579,0.00919185,0.001246405,0.016728625,-0.063120105,0.080932338,-0.014818527
2006Q3,0.020348733,0.018795888,0.095183072,0.071633392,-0.013801265,0.092851461,-0.142775065,0.011882998,-0.040339999,0.219516209,-0.076369714
2006Q4,0.016666079,0.039780917,0.102914398,0.016452737,0.352845244,0.065009015,-0.032115728,-0.002710027,0.018150138,0.126270936,0.032648887
2007Q1,0.014844851,0.000831716,0.063353177,0.058702461,-0.036174317,0.140912233,0.18731606,0.015398551,0.03772105,0.025060995,0.094773732
2007Q2,0.018543604,-0.035457063,0.171987609,-0.013358162,0.071145942,-0.009245377,0.092879708,-0.029438002,-0.04576376,0.249984456,-0.02045929
2007Q3,0.013836112,-0.008615738,0.034447903,0.009620714,-0.099945137,0.037829105,0.181535177,-0.035845588,-0.10117376,0.087740382,-0.053140097
2007Q4,0.020052032,0.010718424,0.18983316,-0.103803614,0.377428273,-0.159544199,0.094587474,-0.027645377,-0.150376542,-0.252243535,0.204981993
2008Q1,0.016199626,0.000859845,-0.024491023,0.008455113,-0.268601588,0.016343782,0.2523297,-0.057843137,0.111173975,-0.130990619,0.003673724
2008Q2,0.012304322,0.012600229,0.332615533,-0.085932754,0.269565589,-0.084590293,-0.057662209,-0.061394381,-0.014002037,-0.201999786,0.095601464
2008Q3,0.01111473,-0.085690045,0.105658282,-0.255162691,0.141865065,-0.227688938,-0.522188875,-0.201773836,-0.210689388,-0.57171229,0.176443941
2008Q4,0.005662514,-0.121249614,0.025900692,-0.147891801,-0.265095543,-0.152116362,-0.187095987,-0.061111111,-0.065532657,-0.316552866,0.087552946
2009Q1,-0.044941731,-0.085885252,-0.038408542,0.149408184,-0.195160045,0.183589107,0.321005251,0.022189349,0.179929988,0.31937381,0.046514716
2009Q2,0.002260877,0.000770119,-0.125638175,0.130532924,-0.154046445,0.134514229,0.161905844,0.12301013,0.009592563,0.178445181,-0.034974203
2009Q3,0.00787903,0.013466718,-0.140545331,0.059291787,0.096295037,0.031959267,0.094281525,0.12757732,0.022235283,0.03603457,-0.107892546
2009Q4,-0.029845472,0.001898254,-0.030269893,0.031066364,0.109134033,0.021323227,0.021707088,0.075428571,0.057589115,-0.041836246,-0.094119959
2010Q1,0.014570501,-0.00265252,0.269777901,-0.012240911,0.183162631,0.040594356,0.029639344,0.040382572,-0.101658059,-0.085155225,0.02093162
2010Q2,0.015340427,-0.010258359,-0.266301067,-0.004439323,-0.269515184,0.01310008,-0.02152592,0.024514811,-0.203126576,-0.021832272,-0.059807723
2010Q3,0.00826154,0.085988484,-0.0093575,0.100032501,-0.069538963,0.103913123,0.125574937,0.026919242,0.102898367,-0.063669203,-0.020620304
2010Q4,0.009277857,0.009190527,-0.065104623,0.087732814,0.203920992,0.058753545,0.21387818,0.031067961,0.175809043,0.205356394,-0.062240425
2011Q1,0.001948025,-0.014010508,0.017851171,0.022918533,0.212353892,0.037084578,0.118140244,-0.02165725,-0.072418505,-0.005620497,-0.03352402
2011Q2,0.008134268,-0.019538188,0.192138331,-0.09600814,0.478780754,-0.168530664,-0.034253579,-0.092396535,-0.269044613,-0.112182303,0.009674134
2011Q3,0.00167836,0.002536232,-0.120513293,0.031645065,-0.2046834,-0.017191616,-0.034792071,-0.016967126,-0.119907874,-0.148285344,-0.006870903
2011Q4,-0.0001457,0.011926274,-0.05923507,0.087469996,0.036916278,0.117675871,0.083122581,0.002157497,-0.019954204,-0.028089945,-0.025960013
2012Q1,0.00521473,0.003214286,0.00583706,-0.003954426,-0.112267642,-0.040468758,-0.085014206,-0.033369214,-0.139686248,-0.059834756,0.048807507
2012Q2,-0.00205022,-0.011035956,-0.123703716,0.038367237,-0.058451738,0.078045563,0.011037663,-0.054565702,-0.090009699,0.080138628,-0.231376204
2012Q3,-0.002334582,-0.02699784,-0.016616121,0.006615293,-0.199236695,0.062947075,0.00431821,-0.005889282,0.076103176,0.044586584,-0.17937111
2012Q4,-0.002870455,0.029226785,0.019173275,0.076965023,0.164043395,0.046436659,0.021861563,0.046208531,0.134112519,0.162745704,-0.0285658
2013Q1,-0.002722266,-0.015456506,0.06947345,0.055131188,-0.181784,0.038978579,-0.088153371,-0.013590034,0.103406114,0.092793674,0.020077063
2013Q2,-0.001610626,0.016064257,-0.128704702,0.034265574,-0.15813142,0.03103613,0.075000812,0.039035591,0.259616906,0.069303278,0.166998012
2013Q3,0.003132169,-0.008264463,0.030893335,0.082087896,-0.157924569,0.120842391,-0.009612769,0.060773481,0.044237778,0.039224609,-0.062180579
2013Q4,0.001524645,0.047101449,0.059678686,0.019160147,0.156857092,0.02011658,-0.009553459,0.035416667,-0.031291371,0.230052619,-0.063851045
2014Q1,0.000448356,0.023183391,-0.087270044,0.045947141,-0.131384084,0.028895637,0.014175655,0.011066398,-0.053174307,0.009784275,-0.02018046
2014Q2,0.005826012,-0.034156239,-0.03597425,0.024026701,0.0058558,-0.034977371,-0.071801884,-0.015920398,-0.028080304,-0.073086131,0.039706902
2014Q3,0.00440378,-0.007703081,0.244020555,0.040326226,0.227807266,0.02685245,-0.249648083,0.005055612,-0.095585257,-0.044936445,-0.053904762
2014Q4,0.008707045,0.035285815,-0.064171743,0.003722022,0.014467161,0.169987121,-0.294315257,0.006036217,-0.1624123,-0.03498134,-0.20706664
2015Q1,0.009848942,0.025221541,-0.055295448,0.01437077,-0.085721861,-0.007309593,0.14423493,0.027,0.154161469,-0.020966872,0.066268884
2015Q2,0.007696982,0.006648936,0.152398062,-0.041553642,0.154800233,-0.076428187,-0.18575751,0.006815969,-0.00169858,-0.064893566,0.113227765
2015Q3,0.010432161,0.014861295,0.011961074,0.0346328,-0.145072182,0.055925433,-0.132647644,0.01934236,0.026759474,-0.023301973,-0.142459893
2015Q4,0.006803398,-0.005532053,0.133072439,-0.043764135,0.192677545,-0.112701033,-0.226608523,-0.027514231,-0.177915035,-0.0008635,-0.021077575
2016Q1,0.007705835,-0.010798429,-0.112325064,0.055443081,-0.109310717,0.024702785,0.350974379,0.009756098,-0.057907275,-0.002033959,-0.057077335
2016Q2,0.007460638,0.018855442,-0.09904546,0.040202137,-0.063469299,0.048676536,0.005784579,0.000966184,-0.098618946,0.065652343,-0.156465343
2016Q3,0.005400777,0.029870129,0.064461033,0.007826103,0.043858395,0.042783314,0.074257426,0.021235521,0.434613724,0.177698225,-0.020342784
2016Q4,0.008807759,-0.002522067,-0.06569975,0.067253828,-0.024860366,0.088336122,0.09135267,0.012287335,0.083784597,0.098936987,-0.072105952
2017Q1,0.006217139,-0.005689001,0.021166819,0.030574299,-0.021665197,0.047518961,-0.074701937,0.013071895,-0.058986815,0.094506303,-0.003524229
2017Q2,0.006884321,0.022886205,-0.114009441,0.033506893,-0.07358037,-0.010038989,0.04912422,0.02764977,-0.006047198,0.042918328,-0.053227233
2017Q3,0.006846721,0.006525792,0.045834768,0.058319518,0.00363785,0.058596416,0.180771445,0.019730942,0.068110996,-0.044988524,-0.24355622
2017Q4,0.00628286,0.016363074,0.112344755,0.035719849,0.292559786,-0.036994788,0.085757625,-0.009674582,0.15712698,0.017101232,-0.086419753
2018Q1,0.00743067,-0.009416768,-0.043399249,-0.013061059,-0.079473201,-0.005277032,0.115158168,-0.005328597,0.033377356,-0.058296271,0.013513514
2018Q2,0.005724412,-0.021772463,-0.118690829,0.069390673,-0.144397728,-0.002843855,0.009709172,-0.008928571,0.030905077,-0.020047488,-0.205333333
2018Q3,0.00615308,-0.026332288,0.298860762,-0.075654065,0.051174959,-0.110983213,-0.099836044,-0.027027027,-0.001690522,-0.056532205,-0.090604027
2018Q4,0.004162541,-0.019639407,-0.101005015,0.043143295,-0.058110319,0.0285918,-0.067096584,-0.018518519,-0.123955746,-0.01591912,-0.122878229
2019Q1,0.037901061,-0.007224959,-0.051540409,0.038046423,0.065343196,0.06590545,0.091076988,-0.023584906,-0.142912371,-0.005498575,-0.328986117
2019Q2,-0.002630352,0.017532252,0.030234269,0.028233783,-0.012024394,0.002376785,-0.101465396,-0.017391304,-0.217861976,-0.015263414,-0.18369906
2019Q3,-0.006421225,0.005851756,-0.009568448,0.059181096,-0.145214595,0.076478517,0.023897949,-0.007866273,0.035371011,-0.027439184,-0.078341014
2019Q4,0.00269872,-0.02973497,0.457174164,-0.068547993,0.829716695,-0.115470618,-0.20454187,-0.055500496,-0.378945414,-0.075426999,-0.141666667
2020Q1,-0.00206286,-0.293804131,0.116974372,0.033396734,-0.149112574,-0.001400254,-0.41825271,-0.288562434,-0.425112108,-0.124266404,1.699029126
2020Q2,-0.073236513,0.129245283,-0.241884628,0.118957318,-0.386563454,0.093789018,0.464159946,0.241887906,-0.008840354,-0.040792954,-0.550359712
2020Q3,0.030949053,0.015873016,0.047823756,0.050642217,0.033363684,0.014386055,0.030879044,0.060570071,0.375131166,0.000454472,-0.04
2020Q4,0.014067505,0.046875,0.133342825,0.079887975,0.009804782,0.09492919,0.373221946,0.024636058,0.640213658,0.152787188,-0.35
2021Q1,0.017864664,0.168499607,-0.250087412,0.103015407,-0.167889088,0.091423364,0.131754905,0.207650273,0.082809956,0.073769068,-0.153846154
2021Q2,0.009157888,0.012100841,-0.19589969,0.042790303,-0.102770069,0.011979016,0.067360775,0.064253394,-0.125241676,0.071039815,0.287878788
2021Q3,0.008370551,-0.024244437,0.010776891,0.053917136,0.213259858,0.000720191,0.083253936,-0.043367347,0.10805501,0.069951797,1.470588235
2021Q4,0.010449265,,,,,,,,,,